Product Name,Price,Rating
"Thomson 6.5 kg 5 Star Rating, Smart Pro Wash Technology Semi Automatic Top Load White, Grey","₹7,090",4.1
SAMSUNG 6.5 kg Diamond Drum feature Fully Automatic Top Load Silver,"₹14,790",4.4
"Haier 7 kg 5 star Ariel Wash Fully Automatic Top Load Brown, Grey","₹14,990",4.3
"IFB 6 kg 5 Star Aqua Energie, Laundry Add, Tub Clean, Fully Automatic Front Load with In-built Heater ...","₹21,990",4.3
"Haier 6.5 kg 5 star Ariel Wash Fully Automatic Top Load Brown, Grey","₹13,890",4.3
"IFB 6.5 kg 5 Star 3D Wash Technology, Triadic Pulsator, Tower Lint Filter, Smart Sense Fully Automatic...","₹16,590",4.3
Whirlpool 6 kg With Hard water wash Fully Automatic Top Load Grey,"₹14,490",4.3
"Thomson 7 kg Semi Automatic Top Load White, Blue, Grey","₹7,490",4.1
"MarQ By Flipkart 7 kg Semi Automatic Top Load Blue, White","₹8,099",4.3
SAMSUNG 7.2 kg with Double Storm Technology Semi Automatic Top Load White,"₹10,490",4.4
"IFB 8 kg 5 Star Dynamic Water Jets, Anti Allergen, Water Softener, Fully Automatic Front Load with In-...","₹32,990",4.4
"IFB 8 kg 5 Star 3D Wash Technology, Aqua Energie, Anti- Allergen, In-built heater Fully Automatic Fron...","₹36,989",4.4
"Whirlpool 7.5 kg 5 Star, Hard Water wash Fully Automatic Top Load Grey","₹17,990",4.3
LG 6.5 kg 5 Star Inverter Fully Automatic Top Load Silver,"₹16,990",4.3
"Whirlpool 7 kg 5 Star,Turbo Scrub Technology Semi Automatic Top Load Grey","₹10,740",4.4
"MarQ By Flipkart 6.5 kg 5 Star Rating Semi Automatic Top Load White, Blue","₹7,490",4.3
"IFB 7 kg In-Built Anticrease, Auto Tub Clean, Delay Start Fully Automatic Front Load White","₹29,990",4.3
IFB 6 kg Fully Automatic Front Load with In-built Heater White,"₹23,590",4.4
Godrej 6.2 kg Fully Automatic Top Load Grey,"₹12,990",4.2
